ignore,id,doc,toc,year,filcount,discount
755,12067,2,6,1986,0,0
756,12067,2,3,1986,1,2
757,12067,2,7,1986,4,9
758,12079,2,2,1986,4,1
759,12079,2,4,1986,0,0
760,12079,2,9,1986,4,13
761,12079,2,8,1986,1,11
762,12079,2,5,1986,29,28
763,12079,2,1,1986,19,29
764,12079,2,10,1986,33,38
765,12079,2,11,1986,2,3
766,12079,2,6,1986,6,10
767,12079,2,3,1986,44,44
768,12079,2,7,1986,9,12
769,12121,2,2,1986,1,2
770,12121,2,4,1986,0,4
771,12121,2,9,1986,16,16
772,12121,2,8,1986,4,2
773,12121,2,5,1986,39,33
774,12121,2,1,1986,34,36
775,12121,2,10,1986,57,42
776,12121,2,11,1986,11,14
777,12121,2,6,1986,16,15
778,12121,2,3,1986,42,24
779,12121,2,7,1986,31,25
780,12123,2,2,1986,1,2
781,12123,2,4,1986,4,2
782,12123,2,9,1986,6,5
783,12123,2,8,1986,5,9
784,12123,2,5,1986,36,34
785,12123,2,1,1986,39,36
786,12123,2,10,1986,45,58
787,12123,2,11,1986,47,35
788,12123,2,6,1986,10,10
789,12123,2,3,1986,71,49
790,12123,2,7,1986,15,20
791,12019,2,2,1986,3,3
792,12019,2,4,1986,12,7
793,12019,2,9,1986,26,32
794,12019,2,8,1986,4,6
795,12019,2,5,1986,45,115
796,12019,2,1,1986,55,88
797,12019,2,10,1986,113,133
798,12019,2,11,1986,327,271
799,12019,2,6,1986,6,14
800,12019,2,3,1986,54,82
801,12019,2,7,1986,22,71
802,12031,2,2,1986,24,76
803,12031,2,4,1986,136,147
804,12031,2,9,1986,177,209
805,12031,2,8,1986,406,457
806,12031,2,5,1986,211,291
807,12031,2,1,1986,618,884
808,12031,2,10,1986,1277,1689
809,12031,2,11,1986,3478,2598
810,12031,2,6,1986,19,278
811,12031,2,3,1986,709,986
812,12031,2,7,1986,414,380
813,12089,2,2,1986,0,0
814,12089,2,4,1986,2,0
815,12089,2,9,1986,12,14
816,12089,2,8,1986,1,2
817,12089,2,5,1986,18,48
818,12089,2,1,1986,45,15
819,12089,2,10,1986,68,63
820,12089,2,11,1986,92,30
821,12089,2,6,1986,3,83
822,12089,2,3,1986,38,44
823,12089,2,7,1986,17,35
824,12017,2,2,1986,1,2
825,12017,2,4,1986,7,3
826,12017,2,9,1986,30,25
827,12017,2,8,1986,11,8
828,12017,2,5,1986,77,59
829,12017,2,1,1986,109,76
830,12017,2,10,1986,159,110
831,12017,2,11,1986,88,22
832,12017,2,6,1986,8,5
833,12017,2,3,1986,56,59
834,12017,2,7,1986,26,27
835,12053,2,2,1986,4,3
836,12053,2,4,1986,7,5
837,12053,2,9,1986,50,26
838,12053,2,8,1986,31,25
839,12053,2,5,1986,76,86
840,12053,2,1,1986,138,78
841,12053,2,10,1986,130,97
842,12053,2,11,1986,43,22
843,12053,2,6,1986,4,5
844,12053,2,3,1986,85,31
845,12053,2,7,1986,44,28
846,12069,2,2,1986,5,4
847,12069,2,4,1986,11,7
848,12069,2,9,1986,35,37
849,12069,2,8,1986,49,43
850,12069,2,5,1986,124,118
851,12069,2,1,1986,217,184
852,12069,2,10,1986,254,246
853,12069,2,11,1986,126,101
854,12069,2,6,1986,26,15
855,12069,2,3,1986,261,162
856,12069,2,7,1986,95,142
857,12083,2,2,1986,2,3
858,12083,2,4,1986,7,8
859,12083,2,9,1986,61,54
860,12083,2,8,1986,58,67
861,12083,2,5,1986,197,201
