id,year,income
12083,1995,18804
12083,1996,19780
12083,1997,20517
12083,1998,21824
12083,1999,22641
12083,2000,23807
12083,2001,24472
12083,2002,24394
12083,2003,25425
12083,2004,27133
12083,2005,29161
12083,2006,31185
12083,2007,31960
12083,2008,32041
12083,2009,31030
12083,2010,32293
12083,2011,34810
12083,2012,34027
12083,2013,34437
12085,1986,20812
12085,1987,22152
12085,1988,24571
12085,1989,27806
12085,1990,29735
12085,1991,29576
12085,1992,30607
12085,1993,31496
12085,1994,31974
12085,1995,34849
12085,1996,36279
12085,1997,38001
12085,1998,40301
12085,1999,41842
12085,2000,43764
12085,2001,44971
12085,2002,43522
12085,2003,44396
12085,2004,48728
12085,2005,52018
12085,2006,58267
12085,2007,59733
12085,2008,57187
12085,2009,49710
12085,2010,50485
12085,2011,52545
12085,2012,54317
12085,2013,54205
12086,1986,15155
12086,1987,15993
12086,1988,16815
12086,1989,17968
12086,1990,18423
12086,1991,18651
12086,1992,19182
12086,1993,20124
12086,1994,20514
12086,1995,21345
12086,1996,21969
12086,1997,22558
12086,1998,23890
12086,1999,24654
12086,2000,26210
12086,2001,27583
12086,2002,28444
12086,2003,29185
12086,2004,30780
12086,2005,32950
12086,2006,35833
12086,2007,36646
12086,2008,37025
12086,2009,35329
12086,2010,36592
12086,2011,38242
12086,2012,39467
12086,2013,39880
12087,1986,16634
12087,1987,17732
12087,1988,19159
12087,1989,21816
12087,1990,23123
12087,1991,23336
12087,1992,24393
12087,1993,26019
12087,1994,26196
12087,1995,28289
12087,1996,29576
12087,1997,31250
12087,1998,34255
12087,1999,35098
12087,2000,38757
12087,2001,39134
12087,2002,38952
12087,2003,41018
12087,2004,45889
12087,2005,52060
12087,2006,59026
12087,2007,61962
12087,2008,60092
12087,2009,53712
12087,2010,55362
12087,2011,55736
12087,2012,58430
12087,2013,57829
12089,1986,15857
12089,1987,16048
12089,1988,16823
12089,1989,18056
12089,1990,18635
12089,1991,19101
12089,1992,19876
12089,1993,21184
12089,1994,21717
12089,1995,23146
12089,1996,24785
12089,1997,25979
12089,1998,27596
12089,1999,28821
12089,2000,31102
12089,2001,32274
12089,2002,32532
12089,2003,33883
12089,2004,36975
12089,2005,39966
12089,2006,42904
12089,2007,44862
12089,2008,45220
12089,2009,41906
12089,2010,44409
12089,2011,46183
12089,2012,45723
12089,2013,45817
12091,1986,14359
12091,1987,15284
12091,1988,16266
12091,1989,17552
12091,1990,18747
12091,1991,19450
12091,1992,20545
12091,1993,21247
12091,1994,21751
12091,1995,23134
12091,1996,24244
12091,1997,25533
12091,1998,26828
12091,1999,28343
12091,2000,29345
12091,2001,30659
12091,2002,33015
12091,2003,35473
12091,2004,36642
12091,2005,39496
12091,2006,42167
12091,2007,43805
12091,2008,44047
12091,2009,42044
12091,2010,43383
12091,2011,44479
12091,2012,44903
12091,2013,45277
12093,1986,11064
12093,1987,11425
12093,1988,12431
12093,1989,13018
12093,1990,13641
12093,1991,13715
12093,1992,14003
12093,1993,14473
12093,1994,14901
12093,1995,15647
12093,1996,16292
12093,1997,16625
12093,1998,16997
12093,1999,17354
12093,2000,17881
12093,2001,19171
12093,2002,19052
12093,2003,19562
12093,2004,21509
12093,2005,22606
12093,2006,23735
12093,2007,24791
12093,2008,25085
12093,2009,24711
12093,2010,25105
12093,2011,26315
12093,2012,26517
12093,2013,27423
12095,1986,15570
12095,1987,16286
12095,1988,17531
12095,1989,18617
12095,1990,19015
12095,1991,18756
12095,1992,19389
12095,1993,20128
12095,1994,20590
12095,1995,21745
12095,1996,22812
12095,1997,23712
12095,1998,25098
12095,1999,26292
12095,2000,27867
12095,2001,28213
12095,2002,28809
12095,2003,29650
12095,2004,31196
12095,2005,33170
12095,2006,35294
12095,2007,35859
12095,2008,35881
12095,2009,33683
